order_id,order_date,user_id,product_id,quantity,price,total_amount,country,city
5a7e7f4f-ca55-4ac9-8256-9dd0eca4e95a,2024-08-04,620016,1010,2,28.98,57.96,USA,Houston
e2fe7363-2243-47ec-a935-175bbe29cb94,2024-05-31,445380,1006,5,23.73,118.65,USA,Chicago
fa9e9615-32d6-427a-8564-da5f903ea28b,2024-10-09,350299,1009,3,16.28,48.84,Mexico,Mexico City
05a2f618-7831-4cd8-9ad6-bb7f6ef63248,2024-09-01,540002,1002,1,47.82,47.82,India,Delhi
c57fda14-0c72-40d9-af61-41061e5f8ac7,2024-11-05,355576,1001,3,20.46,61.38,Japan,Yokohama
e6dfcc79-9733-4f37-b10a-43bba5cf66f4,2025-04-04,466718,1003,4,87.29,349.16,Brazil,Brasilia
8fc10810-662d-4eb3-afff-e0a196214996,2024-11-19,164873,1004,2,9.56,19.12,USA,Los Angeles
7af7039e-fe9d-42b0-b52f-39c5d6e9932d,2024-06-20,758124,1010,4,28,112,Germany,Munich
6a186068-a4e9-4ca5-b3e6-132518e2be17,2024-12-08,683868,1003,2,93.12,186.24,Japan,Nagoya
260c442f-8546-47a2-95d7-f1a6ad21c55f,2024-11-23,395871,1006,4,27.57,110.28,Mexico,Monterrey
610682cb-219c-4243-a378-f199ca55d6e7,2025-03-22,575623,1004,4,10.33,41.32,Japan,Osaka
297a19c0-78d5-486b-9808-5ef8110e607f,2024-06-21,724855,1005,2,36.29,72.58,Mexico,Monterrey
7a76bc3c-b258-4600-81e6-c26340528dad,2024-06-27,264936,1006,4,23.68,94.72,Japan,Nagoya
9f40b8b0-7d95-4f2f-a4a1-798b298b8c2f,2024-11-25,793587,1005,2,43.41,86.82,Germany,Hamburg
8c8cfa81-7c74-4e83-a90f-242308b6bf9c,2024-10-26,252898,1007,1,220.26,220.26,Australia,Perth
272da6e5-c1fc-465c-9b31-9c8fffeb9ce2,2025-02-02,648288,1010,4,29.32,117.28,Australia,Brisbane
912ac70c-0028-4a50-84bc-6029048b1c77,2025-01-25,947753,1009,5,14.88,74.4,Japan,Osaka
3ede60ce-18ce-4afb-91d8-1b7dc165d700,2024-09-24,451139,1008,3,81.83,245.49,Australia,Brisbane
2e7bf26b-b58f-4817-ae84-151eb4eafd48,2025-03-01,543819,1007,5,211.73,1058.65,Canada,Montreal
dbf8e548-8e03-4fa9-b2c4-2416952dc170,2024-08-14,421150,1007,1,234.99,234.99,Mexico,Guadalajara
81e57f73-adab-4ead-82df-8defbbe06d1e,2025-04-02,899854,1001,5,20.82,104.1,Japan,Yokohama
6153c92b-ce34-47a7-8b8a-e21dba2a891f,2025-04-10,701605,1007,5,227.23,1136.15,UK,Birmingham
d84d3ad3-a168-41b2-a317-3822cb046725,2024-06-10,909975,1008,4,78.47,313.88,Brazil,Brasilia
3d5715bf-f06a-4ec8-8ac7-bd4de45057af,2024-08-09,284061,1005,1,39.61,39.61,Mexico,Puebla
b37c3255-076c-4863-ba2d-0bfd15afd142,2024-10-10,698842,1006,2,27.56,55.12,Germany,Hamburg
6269d00c-94ff-44b0-941d-f3e62c3521bc,2024-05-10,399702,1005,4,37.47,149.88,Japan,Tokyo
bce63040-d653-43b7-bbd7-521589c028c4,2024-12-15,749017,1009,4,15.93,63.72,Brazil,Brasilia
6c3d576d-38ac-4b67-b733-1a88a6e575c0,2024-08-19,428597,1009,4,15.63,62.52,France,Marseille
322d8d83-941e-4124-8840-88990f469a67,2024-11-08,817135,1008,3,86.33,258.99,Canada,Montreal
ffa7f1e0-4371-4f94-8ee3-cae3ed072a5b,2025-04-11,958425,1008,3,77.46,232.38,UK,Birmingham
901245a8-76ab-4fd9-ae77-91b167365dc9,2025-04-02,479827,1006,3,28.39,85.17,Brazil,Salvador
da4e4852-66bf-446e-9672-3308c1b7e53a,2024-11-25,381772,1005,4,37.73,150.92,Brazil,Rio de Janeiro
346cc082-6307-4f2d-82d4-eb12389cb617,2025-02-02,949885,1010,1,31.33,31.33,UK,London
eec6beb7-3754-46eb-b861-ac2fc2173ed6,2024-10-26,251269,1005,4,36.8,147.2,Japan,Nagoya
8be2c85b-3959-49c3-b335-1d91c3405c70,2024-12-26,965290,1010,3,31.94,95.82,USA,Seattle
d4ff00fe-46d6-4efc-8b78-78f8dbb19ceb,2024-11-03,791060,1001,4,19.56,78.24,Mexico,Monterrey
84e4c317-48b0-4c27-aeca-c6a858d9d910,2024-07-31,247089,1007,1,229.18,229.18,Japan,Osaka
ca2cc69d-9884-48ea-a28e-8a8e5027949b,2025-01-14,356918,1008,4,77,308,USA,Los Angeles
e306ba87-6b51-4a4d-bd47-96e05b799f89,2024-10-16,681590,1005,4,42.71,170.84,India,Delhi
5ebf9e85-e97c-4e94-8be9-cd5a79db221d,2025-04-22,698885,1010,4,29.08,116.32,USA,Chicago
5d1a6a41-9468-4a73-a99b-fb52f7ea88c8,2025-03-06,750957,1008,3,84.39,253.17,Canada,Vancouver
c9e1608f-4da2-4b19-ad82-a1d446710f72,2024-11-16,248038,1002,1,48.43,48.43,Brazil,Salvador
a944e949-ef41-4cc2-83be-994a7b5a5775,2025-03-07,794370,1002,4,50.91,203.64,India,Mumbai
0ebb800f-03af-4df5-b634-f73460009050,2025-01-03,420729,1008,4,75.68,302.72,Japan,Yokohama
a7d8467f-6d63-477a-8140-68de4627cc2c,2025-01-11,464204,1008,1,78.43,78.43,Japan,Tokyo
c3deaff8-9355-49f9-a4dc-6efa52cf0d89,2025-02-28,723591,1001,2,18.78,37.56,Canada,Ottawa
6537773d-d27e-47e4-8110-f6d5ea0624c5,2024-05-28,657475,1009,2,15.65,31.3,Germany,Frankfurt
0a951222-4a5e-4b57-8f5a-152bf41e9131,2025-03-23,919118,1008,4,79.62,318.48,USA,Chicago
eb83abd8-6815-48d3-a7af-34f1f8f6b788,2024-08-26,403954,1003,3,83.34,250.02,Brazil,Brasilia
d29a8344-a60a-420f-82a3-16eb64a5cbc0,2024-10-04,783631,1006,4,27.64,110.56,Canada,Vancouver
8be598a1-77c1-4641-8dd3-912eda1d2a34,2025-01-09,605769,1002,1,46.34,46.34,Germany,Berlin
8104fb8b-75c1-4a6e-9dce-05ab8716b3a8,2024-06-05,538498,1008,3,87.57,262.71,Canada,Montreal
528b6cfa-8bc7-41d6-93ab-0bc1f95c5c3f,2024-06-29,385729,1003,5,84.25,421.25,UK,Manchester
0dcb88af-6e33-4f16-8999-d811b718726d,2024-07-21,201218,1010,4,27.08,108.32,UK,Birmingham
9178c12f-3edb-41ed-b535-c608fc570345,2025-03-08,649436,1003,3,87.09,261.27,Mexico,Monterrey
c9efcd8b-59b8-42f4-9e11-ad9faf9b48e9,2024-11-19,957782,1008,2,81.3,162.6,Brazil,Sao Paulo
74710f43-4575-46bb-b68e-3f09c00ae52d,2024-06-18,304469,1009,4,15.07,60.28,Japan,Nagoya
580b75dc-7741-4759-9401-633f34a050af,2024-12-21,432927,1007,4,219.76,879.04,USA,New York
f70142ea-6611-495a-b3c1-9625df73007d,2024-06-29,346289,1001,2,21.04,42.08,UK,Manchester
fc3efcba-2d51-4a17-8cb7-58c83b215e02,2025-02-09,312554,1002,3,48.37,145.11,Canada,Toronto
9c0995d2-d6bc-4f21-b5a0-f9636e5700cd,2024-10-11,164253,1008,4,79.03,316.12,USA,Los Angeles
07805f44-f1b7-4ed9-82a2-704b4e3cae0c,2025-01-03,626834,1002,5,52.37,261.85,India,Hyderabad
12286988-e105-4391-91f4-5bbd07213882,2025-01-12,282404,1008,5,80.58,402.9,Canada,Montreal
4855f747-2ef5-42fe-99f8-aca2ada5a7fa,2024-05-18,805764,1009,2,15.45,30.9,India,Bangalore
1c0a78a8-c560-4e88-9723-08cbbb0ee5db,2025-01-20,316530,1002,2,45.67,91.34,Mexico,Guadalajara
bb5d17da-3e7c-4a57-aa46-226769e24add,2024-11-06,711819,1005,2,37.07,74.14,Germany,Hamburg
546ab01b-c792-44b2-9ace-b64c8470ce30,2024-06-07,675175,1007,2,233.6,467.2,Brazil,Salvador
c2a2ebab-d18c-403d-a203-b112f3a70eac,2024-05-10,384823,1007,4,229.02,916.08,Japan,Nagoya
e7c151bf-5d24-42b5-8d62-62d2989343b0,2025-01-11,778508,1010,2,27.91,55.82,Brazil,Brasilia
87660164-6b7b-4e09-9fbb-61a02e00b152,2024-07-03,186093,1005,3,42.51,127.53,UK,Bristol
10eb3698-ba69-403a-a6e3-434ab8e96b47,2024-05-05,473651,1005,2,42.15,84.3,India,Mumbai
847d5e7a-c8a8-462e-9d31-b6a8d5acac83,2024-08-26,775335,1004,2,10.94,21.88,India,Hyderabad
4865db5c-f890-42ef-a85c-8a8ae15a08c1,2025-04-01,412811,1007,4,248.05,992.2,India,Bangalore
06cf053f-cbd4-4475-8598-14457cd72f42,2024-06-14,851122,1005,4,36.75,147,Canada,Montreal
36d8a17e-e3ee-4ada-a86f-d0dc2123acc4,2025-03-31,917671,1005,5,42.32,211.6,Canada,Ottawa
d9133985-d358-46a7-af30-e3c08e88d6ef,2024-12-20,989737,1009,5,16.22,81.1,Brazil,Brasilia
28f257df-90d3-4095-b6c8-03c13c520876,2024-11-25,433355,1010,5,31.61,158.05,Australia,Brisbane
